,recipe_id,sugars,carbohydrates,calories,fat,calcium,fiber,cholesterol,protein,vitaminA,vitaminC
0,240488,0.0472312705133832,0.036981885749072,0.078935271157579,0.0304104411036538,0.0585814306615558,0.2302237593452624,0.0245947567548805,0.0791318080093639,0.0006640349794649,0.0417377053329621
1,87211,0.0046994750668663,0.0701550191452604,0.13602349359201,0.0764938681411362,0.2285505643683524,0.100016123878225,0.0152203313350093,0.0703848195756044,0.0054876934859503,0.0142491426004201
2,218545,0.019573509682174,0.0431158503528475,0.0709266055649803,0.0207781677016449,0.0477234757253924,0.1805860624385924,0.0152657324625996,0.0567859538941763,0.0143815255286211,0.0111247358196866
3,22402,0.062984810931711,0.0340346557051976,0.0486344280630315,0.016459616311789,0.0061358834822299,0.0385048570931214,0.0091928184301999,0.0302321683320412,0.0002334104343123,0.0039890871383735
4,23658,0.014690926931174,0.0469525566187776,0.0622762172505345,0.0259928823917205,0.009788611086003,0.0454232844565138,0.0080393169004656,0.0207295479813538,0.0018482338763976,0.0065710692500442
5,26668,0.0179863082242063,0.0469581819835474,0.0857138974165245,0.0569853545428995,0.0580080017956683,0.0982115106024633,0.0089567682687968,0.0370563633019592,0.0040255876038322,0.0034717153053734
6,185816,0.0684086756316955,0.0375304971427642,0.0754036089789367,0.0383255830429741,0.0239282623578699,0.0203350005933857,0.0179938413935706,0.0499759987790683,0.0022844272961058,0.0099718023108658
7,79814,0.018217772028767,0.0509275569444263,0.0876549493873586,0.0365449307162331,0.0607075590630866,0.2152050423600853,0.0170688107740902,0.0592665148618429,0.0687110646105599,0.0429141698726872
8,50908,0.0109940927169217,0.0102505984731053,0.0578671871798155,0.0516969762797616,0.0199131012429121,0.0607547731521213,0.0113461166565014,0.0346933300520069,0.0105478494906616,0.0436758317725075
9,73910,0.0004098332363703,0.0025285749510114,0.0927224353865699,0.0900416257402888,0.0092674564089833,0.0047166847684973,0.0308533041766458,0.0609707754698825,0.0032172396458134,0.0003257169252575
10,8778,0.0160800977691532,0.0622831280670774,0.1984681046606864,0.160738156876504,0.1024039553141532,0.1125444448172653,0.067139719044573,0.0950754668824457,0.0394073599523782,0.1013859974942418
11,217969,0.0063498817876863,0.0398921359360174,0.0805316785296183,0.0548921900880154,0.012928479031723,0.0383306246268819,0.0099786035533473,0.0296389207624909,0.0026732993471975,0.0113718709661089
12,133604,0.0098695951073527,0.0367951420825354,0.0795416375481265,0.0437902996214586,0.0330209957396125,0.0427043617117343,0.0198282854578542,0.0457983080008852,0.0114059389229577,0.0133945034675643
13,142456,0.0331973074443764,0.0752929137810255,0.1722397800560137,0.099506174575974,0.1486785706099433,0.2510859409465212,0.0390769776217465,0.1112318539682236,0.1654764259748933,0.0358758684730061
14,22681,0.0103673698783789,0.0300906409953299,0.0802132379625494,0.0420516350885637,0.0180458872837532,0.0850049959251176,0.0225146180126841,0.0684234154520034,0.0474863931442136,0.027613708269002
